input,responses,tag
hi there,Howdy!,greeting
hi there,Ahoy!,greeting
hi there,Hiya!,greeting
hi there,"Hey, good to see you!",greeting
hi there,"Not much, just chilling. How about you?",greeting
hi there,"Hey, hey!",greeting
hi there,"Hey, how's it going?",greeting
hi there,"Hey, what's the good word?",greeting
hi there,"Hey, long time no see!",greeting
hi there,"It's going well, thanks! How about you?",greeting
hi there,"Hi, everything's going great. How about you?",greeting
hi there,Top of the morning to you too!,greeting
hi there,"Hey, how's your day going?",greeting
hi there,"I'm doing well, thanks! How about you?",greeting
hi there,"Hey, good to see you too!",greeting
hi there,"Hiya, pal! What's new?",greeting
hi there,The world keeps spinning. How about you?,greeting
hi there,"Hey, sunshine! Ready to take on the day?",greeting
hi there,"Not much, just hanging out. How about you?",greeting
hi there,"Well, look who it is! How have you been?",greeting
hi there,"Hi, stranger! Long time no talk!",greeting
hi there,Greetings and hallucinations! How's life treating you?,greeting
hi there,"Hey, fancy meeting you here! What brings you around?",greeting
hi there,"Hello, beautiful! How's everything in your world?",greeting
hi there,My day is going great. How about yours?,greeting
hi there,"Hey, good lookin'! What's on your mind?",greeting
hi there,"Hi, lovely people! How's the day treating you?",greeting
hi there,"Hey, rockstar! Ready to conquer the world?",greeting
hi there,"Not much, just taking it easy. How about you?",greeting
hi there,"Greetings, earthling! How's life on your planet?",greeting
hi there,"Hey, you magnificent creature! How's your day been?",greeting
hi there,"Hello, fabulous! What's the latest gossip?",greeting
hi there,Howdy-doody! What's new in your neck of the woods?,greeting
hi there,"Hey, gorgeous! How's everything with you?",greeting
hi there,Just going with the flow. How about you?,greeting
hi there,"Hi, sunshine! What's brightening your day?",greeting
hi there,"Hey, party people! Ready to have some fun?",greeting
hi there,"Greetings, fellow human! How's life treating you?",greeting
hi there,"Hey, superstar! What's been happening?",greeting
hi there,"Not much, just keeping busy. How about you?",greeting
hi there,"Hi, hi, hooray! What's the plan for today?",greeting
hi there,"Hey, how are you doing? Anything exciting going on?",greeting
hi there,"Hey, stranger! How have you been?",greeting
hi there,"Hello, my friend! How's life treating you?",greeting
hi there,Hi there! How's your day been so far?,greeting
hi there,"Hey, you! What's the good news?",greeting
hey,hello buddy,greeting
hey,hello main ky kr skta hu,greeting
hey,bol na ky kaam h,greeting
hey,ram ram,greeting
hey,kaam kr apna,greeting
hey,m nhi btaunga,greeting
hey,Hello!,greeting
hey,Hey there!,greeting
hey,Hi!,greeting
hey,Greetings!,greeting
hey,Salutations!,greeting
hey,"Hey, what's up?",greeting
hey,"Yo, what's going on?",greeting
hey,Howdy!,greeting
hey,Ahoy!,greeting
hey,Hiya!,greeting
hey,"Hey, good to see you!",greeting
hey,"Not much, just chilling. How about you?",greeting
hey,"Hey, hey!",greeting
hey,"Hey, how's it going?",greeting
hey,"Hey, what's the good word?",greeting
hey,"Hey, long time no see!",greeting
hey,"It's going well, thanks! How about you?",greeting
hey,"Hi, everything's going great. How about you?",greeting
hey,Top of the morning to you too!,greeting
hey,"Hey, how's your day going?",greeting
hey,"I'm doing well, thanks! How about you?",greeting
hey,"Hey, good to see you too!",greeting
hey,"Hiya, pal! What's new?",greeting
hey,The world keeps spinning. How about you?,greeting
hey,"Hey, sunshine! Ready to take on the day?",greeting
hey,"Not much, just hanging out. How about you?",greeting
hey,"Well, look who it is! How have you been?",greeting
hey,"Hi, stranger! Long time no talk!",greeting
hey,Greetings and hallucinations! How's life treating you?,greeting
hey,"Hey, fancy meeting you here! What brings you around?",greeting
hey,"Hello, beautiful! How's everything in your world?",greeting
hey,My day is going great. How about yours?,greeting
hey,"Hey, good lookin'! What's on your mind?",greeting
hey,"Hi, lovely people! How's the day treating you?",greeting
hey,"Hey, rockstar! Ready to conquer the world?",greeting
hey,"Not much, just taking it easy. How about you?",greeting
hey,"Greetings, earthling! How's life on your planet?",greeting
hey,"Hey, you magnificent creature! How's your day been?",greeting
hey,"Hello, fabulous! What's the latest gossip?",greeting
hey,Howdy-doody! What's new in your neck of the woods?,greeting
hey,"Hey, gorgeous! How's everything with you?",greeting
hey,Just going with the flow. How about you?,greeting
hey,"Hi, sunshine! What's brightening your day?",greeting
hey,"Hey, party people! Ready to have some fun?",greeting
hey,"Greetings, fellow human! How's life treating you?",greeting
hey,"Hey, superstar! What's been happening?",greeting
hey,"Not much, just keeping busy. How about you?",greeting
hey,"Hi, hi, hooray! What's the plan for today?",greeting
hey,"Hey, how are you doing? Anything exciting going on?",greeting
hey,"Hey, stranger! How have you been?",greeting
hey,"Hello, my friend! How's life treating you?",greeting
hey,Hi there! How's your day been so far?,greeting
hey,"Hey, you! What's the good news?",greeting
hey buddy,hello buddy,greeting
hey buddy,hello main ky kr skta hu,greeting
hey buddy,bol na ky kaam h,greeting
hey buddy,ram ram,greeting
hey buddy,kaam kr apna,greeting
hey buddy,m nhi btaunga,greeting
hey buddy,Hello!,greeting
hey buddy,Hey there!,greeting
hey buddy,Hi!,greeting
hey buddy,Greetings!,greeting
hey buddy,Salutations!,greeting
hey buddy,"Hey, what's up?",greeting
hey buddy,"Yo, what's going on?",greeting
hey buddy,Howdy!,greeting
hey buddy,Ahoy!,greeting
hey buddy,Hiya!,greeting
hey buddy,"Hey, good to see you!",greeting
hey buddy,"Not much, just chilling. How about you?",greeting
hey buddy,"Hey, hey!",greeting
hey buddy,"Hey, how's it going?",greeting
hey buddy,"Hey, what's the good word?",greeting
hey buddy,"Hey, long time no see!",greeting
hey buddy,"It's going well, thanks! How about you?",greeting
hey buddy,"Hi, everything's going great. How about you?",greeting
hey buddy,Top of the morning to you too!,greeting
hey buddy,"Hey, how's your day going?",greeting
hey buddy,"I'm doing well, thanks! How about you?",greeting
hey buddy,"Hey, good to see you too!",greeting
hey buddy,"Hiya, pal! What's new?",greeting
hey buddy,The world keeps spinning. How about you?,greeting
hey buddy,"Hey, sunshine! Ready to take on the day?",greeting
hey buddy,"Not much, just hanging out. How about you?",greeting
hey buddy,"Well, look who it is! How have you been?",greeting
hey buddy,"Hi, stranger! Long time no talk!",greeting
hey buddy,Greetings and hallucinations! How's life treating you?,greeting
hey buddy,"Hey, fancy meeting you here! What brings you around?",greeting
hey buddy,"Hello, beautiful! How's everything in your world?",greeting
hey buddy,My day is going great. How about yours?,greeting
hey buddy,"Hey, good lookin'! What's on your mind?",greeting
hey buddy,"Hi, lovely people! How's the day treating you?",greeting
hey buddy,"Hey, rockstar! Ready to conquer the world?",greeting
hey buddy,"Not much, just taking it easy. How about you?",greeting
hey buddy,"Greetings, earthling! How's life on your planet?",greeting
hey buddy,"Hey, you magnificent creature! How's your day been?",greeting
hey buddy,"Hello, fabulous! What's the latest gossip?",greeting
hey buddy,Howdy-doody! What's new in your neck of the woods?,greeting
hey buddy,"Hey, gorgeous! How's everything with you?",greeting
hey buddy,Just going with the flow. How about you?,greeting
hey buddy,"Hi, sunshine! What's brightening your day?",greeting
hey buddy,"Hey, party people! Ready to have some fun?",greeting
hey buddy,"Greetings, fellow human! How's life treating you?",greeting
hey buddy,"Hey, superstar! What's been happening?",greeting
hey buddy,"Not much, just keeping busy. How about you?",greeting
hey buddy,"Hi, hi, hooray! What's the plan for today?",greeting
hey buddy,"Hey, how are you doing? Anything exciting going on?",greeting
hey buddy,"Hey, stranger! How have you been?",greeting
hey buddy,"Hello, my friend! How's life treating you?",greeting
hey buddy,Hi there! How's your day been so far?,greeting
hey buddy,"Hey, you! What's the good news?",greeting
namaste,hello buddy,greeting
namaste,hello main ky kr skta hu,greeting
namaste,bol na ky kaam h,greeting
namaste,ram ram,greeting
namaste,kaam kr apna,greeting
namaste,m nhi btaunga,greeting
namaste,Hello!,greeting
namaste,Hey there!,greeting
namaste,Hi!,greeting
namaste,Greetings!,greeting
namaste,Salutations!,greeting
namaste,"Hey, what's up?",greeting
namaste,"Yo, what's going on?",greeting
namaste,Howdy!,greeting
namaste,Ahoy!,greeting
namaste,Hiya!,greeting
namaste,"Hey, good to see you!",greeting
namaste,"Not much, just chilling. How about you?",greeting
namaste,"Hey, hey!",greeting
namaste,"Hey, how's it going?",greeting
namaste,"Hey, what's the good word?",greeting
namaste,"Hey, long time no see!",greeting
namaste,"It's going well, thanks! How about you?",greeting
namaste,"Hi, everything's going great. How about you?",greeting
namaste,Top of the morning to you too!,greeting
namaste,"Hey, how's your day going?",greeting
namaste,"I'm doing well, thanks! How about you?",greeting
namaste,"Hey, good to see you too!",greeting
namaste,"Hiya, pal! What's new?",greeting
namaste,The world keeps spinning. How about you?,greeting
namaste,"Hey, sunshine! Ready to take on the day?",greeting
namaste,"Not much, just hanging out. How about you?",greeting
namaste,"Well, look who it is! How have you been?",greeting
namaste,"Hi, stranger! Long time no talk!",greeting
namaste,Greetings and hallucinations! How's life treating you?,greeting
namaste,"Hey, fancy meeting you here! What brings you around?",greeting
namaste,"Hello, beautiful! How's everything in your world?",greeting
namaste,My day is going great. How about yours?,greeting
namaste,"Hey, good lookin'! What's on your mind?",greeting
namaste,"Hi, lovely people! How's the day treating you?",greeting
namaste,"Hey, rockstar! Ready to conquer the world?",greeting
namaste,"Not much, just taking it easy. How about you?",greeting
namaste,"Greetings, earthling! How's life on your planet?",greeting
namaste,"Hey, you magnificent creature! How's your day been?",greeting
namaste,"Hello, fabulous! What's the latest gossip?",greeting
namaste,Howdy-doody! What's new in your neck of the woods?,greeting
namaste,"Hey, gorgeous! How's everything with you?",greeting
namaste,Just going with the flow. How about you?,greeting
namaste,"Hi, sunshine! What's brightening your day?",greeting
namaste,"Hey, party people! Ready to have some fun?",greeting
namaste,"Greetings, fellow human! How's life treating you?",greeting
namaste,"Hey, superstar! What's been happening?",greeting
namaste,"Not much, just keeping busy. How about you?",greeting
namaste,"Hi, hi, hooray! What's the plan for today?",greeting
namaste,"Hey, how are you doing? Anything exciting going on?",greeting
namaste,"Hey, stranger! How have you been?",greeting
namaste,"Hello, my friend! How's life treating you?",greeting
namaste,Hi there! How's your day been so far?,greeting
namaste,"Hey, you! What's the good news?",greeting
bsdk,hello buddy,greeting
bsdk,hello main ky kr skta hu,greeting
bsdk,bol na ky kaam h,greeting
bsdk,ram ram,greeting
bsdk,kaam kr apna,greeting
bsdk,m nhi btaunga,greeting
bsdk,Hello!,greeting
bsdk,Hey there!,greeting
bsdk,Hi!,greeting
bsdk,Greetings!,greeting
bsdk,Salutations!,greeting
bsdk,"Hey, what's up?",greeting
bsdk,"Yo, what's going on?",greeting
bsdk,Howdy!,greeting
bsdk,Ahoy!,greeting
bsdk,Hiya!,greeting
bsdk,"Hey, good to see you!",greeting
bsdk,"Not much, just chilling. How about you?",greeting
bsdk,"Hey, hey!",greeting
bsdk,"Hey, how's it going?",greeting
bsdk,"Hey, what's the good word?",greeting
bsdk,"Hey, long time no see!",greeting
bsdk,"It's going well, thanks! How about you?",greeting
bsdk,"Hi, everything's going great. How about you?",greeting
bsdk,Top of the morning to you too!,greeting
bsdk,"Hey, how's your day going?",greeting
bsdk,"I'm doing well, thanks! How about you?",greeting
bsdk,"Hey, good to see you too!",greeting
bsdk,"Hiya, pal! What's new?",greeting
bsdk,The world keeps spinning. How about you?,greeting
bsdk,"Hey, sunshine! Ready to take on the day?",greeting
bsdk,"Not much, just hanging out. How about you?",greeting
bsdk,"Well, look who it is! How have you been?",greeting
bsdk,"Hi, stranger! Long time no talk!",greeting
bsdk,Greetings and hallucinations! How's life treating you?,greeting
bsdk,"Hey, fancy meeting you here! What brings you around?",greeting
bsdk,"Hello, beautiful! How's everything in your world?",greeting
bsdk,My day is going great. How about yours?,greeting
bsdk,"Hey, good lookin'! What's on your mind?",greeting
bsdk,"Hi, lovely people! How's the day treating you?",greeting
bsdk,"Hey, rockstar! Ready to conquer the world?",greeting
bsdk,"Not much, just taking it easy. How about you?",greeting
bsdk,"Greetings, earthling! How's life on your planet?",greeting
bsdk,"Hey, you magnificent creature! How's your day been?",greeting
bsdk,"Hello, fabulous! What's the latest gossip?",greeting
bsdk,Howdy-doody! What's new in your neck of the woods?,greeting
bsdk,"Hey, gorgeous! How's everything with you?",greeting
bsdk,Just going with the flow. How about you?,greeting
bsdk,"Hi, sunshine! What's brightening your day?",greeting
bsdk,"Hey, party people! Ready to have some fun?",greeting
bsdk,"Greetings, fellow human! How's life treating you?",greeting
bsdk,"Hey, superstar! What's been happening?",greeting
bsdk,"Not much, just keeping busy. How about you?",greeting
bsdk,"Hi, hi, hooray! What's the plan for today?",greeting
bsdk,"Hey, how are you doing? Anything exciting going on?",greeting
bsdk,"Hey, stranger! How have you been?",greeting
bsdk,"Hello, my friend! How's life treating you?",greeting
bsdk,Hi there! How's your day been so far?,greeting
bsdk,"Hey, you! What's the good news?",greeting
Hello!,hello buddy,greeting
Hello!,hello main ky kr skta hu,greeting
Hello!,bol na ky kaam h,greeting
Hello!,ram ram,greeting
Hello!,kaam kr apna,greeting
Hello!,m nhi btaunga,greeting
Hello!,Hello!,greeting
Hello!,Hey there!,greeting
Hello!,Hi!,greeting
Hello!,Greetings!,greeting
Hello!,Salutations!,greeting
Hello!,"Hey, what's up?",greeting
Hello!,"Yo, what's going on?",greeting
Hello!,Howdy!,greeting
Hello!,Ahoy!,greeting
Hello!,Hiya!,greeting
Hello!,"Hey, good to see you!",greeting
Hello!,"Not much, just chilling. How about you?",greeting
Hello!,"Hey, hey!",greeting
Hello!,"Hey, how's it going?",greeting
Hello!,"Hey, what's the good word?",greeting
Hello!,"Hey, long time no see!",greeting
Hello!,"It's going well, thanks! How about you?",greeting
Hello!,"Hi, everything's going great. How about you?",greeting
Hello!,Top of the morning to you too!,greeting
Hello!,"Hey, how's your day going?",greeting
Hello!,"I'm doing well, thanks! How about you?",greeting
Hello!,"Hey, good to see you too!",greeting
Hello!,"Hiya, pal! What's new?",greeting
Hello!,The world keeps spinning. How about you?,greeting
Hello!,"Hey, sunshine! Ready to take on the day?",greeting
Hello!,"Not much, just hanging out. How about you?",greeting
Hello!,"Well, look who it is! How have you been?",greeting
Hello!,"Hi, stranger! Long time no talk!",greeting
Hello!,Greetings and hallucinations! How's life treating you?,greeting
Hello!,"Hey, fancy meeting you here! What brings you around?",greeting
Hello!,"Hello, beautiful! How's everything in your world?",greeting
Hello!,My day is going great. How about yours?,greeting
Hello!,"Hey, good lookin'! What's on your mind?",greeting
Hello!,"Hi, lovely people! How's the day treating you?",greeting
Hello!,"Hey, rockstar! Ready to conquer the world?",greeting
Hello!,"Not much, just taking it easy. How about you?",greeting
Hello!,"Greetings, earthling! How's life on your planet?",greeting
Hello!,"Hey, you magnificent creature! How's your day been?",greeting
Hello!,"Hello, fabulous! What's the latest gossip?",greeting
Hello!,Howdy-doody! What's new in your neck of the woods?,greeting
Hello!,"Hey, gorgeous! How's everything with you?",greeting
Hello!,Just going with the flow. How about you?,greeting
Hello!,"Hi, sunshine! What's brightening your day?",greeting
Hello!,"Hey, party people! Ready to have some fun?",greeting
Hello!,"Greetings, fellow human! How's life treating you?",greeting
Hello!,"Hey, superstar! What's been happening?",greeting
Hello!,"Not much, just keeping busy. How about you?",greeting
Hello!,"Hi, hi, hooray! What's the plan for today?",greeting
Hello!,"Hey, how are you doing? Anything exciting going on?",greeting
Hello!,"Hey, stranger! How have you been?",greeting
Hello!,"Hello, my friend! How's life treating you?",greeting
Hello!,Hi there! How's your day been so far?,greeting
Hello!,"Hey, you! What's the good news?",greeting
Hi there!,hello buddy,greeting
Hi there!,hello main ky kr skta hu,greeting
Hi there!,bol na ky kaam h,greeting
Hi there!,ram ram,greeting
Hi there!,kaam kr apna,greeting
Hi there!,m nhi btaunga,greeting
Hi there!,Hello!,greeting
Hi there!,Hey there!,greeting
Hi there!,Hi!,greeting
Hi there!,Greetings!,greeting
Hi there!,Salutations!,greeting
Hi there!,"Hey, what's up?",greeting
Hi there!,"Yo, what's going on?",greeting
Hi there!,Howdy!,greeting
Hi there!,Ahoy!,greeting
Hi there!,Hiya!,greeting
Hi there!,"Hey, good to see you!",greeting
Hi there!,"Not much, just chilling. How about you?",greeting
Hi there!,"Hey, hey!",greeting
Hi there!,"Hey, how's it going?",greeting
Hi there!,"Hey, what's the good word?",greeting
Hi there!,"Hey, long time no see!",greeting
Hi there!,"It's going well, thanks! How about you?",greeting
Hi there!,"Hi, everything's going great. How about you?",greeting
Hi there!,Top of the morning to you too!,greeting
Hi there!,"Hey, how's your day going?",greeting
Hi there!,"I'm doing well, thanks! How about you?",greeting
Hi there!,"Hey, good to see you too!",greeting
Hi there!,"Hiya, pal! What's new?",greeting
Hi there!,The world keeps spinning. How about you?,greeting
Hi there!,"Hey, sunshine! Ready to take on the day?",greeting
Hi there!,"Not much, just hanging out. How about you?",greeting
Hi there!,"Well, look who it is! How have you been?",greeting
Hi there!,"Hi, stranger! Long time no talk!",greeting
Hi there!,Greetings and hallucinations! How's life treating you?,greeting
Hi there!,"Hey, fancy meeting you here! What brings you around?",greeting
Hi there!,"Hello, beautiful! How's everything in your world?",greeting
Hi there!,My day is going great. How about yours?,greeting
Hi there!,"Hey, good lookin'! What's on your mind?",greeting
Hi there!,"Hi, lovely people! How's the day treating you?",greeting
Hi there!,"Hey, rockstar! Ready to conquer the world?",greeting
Hi there!,"Not much, just taking it easy. How about you?",greeting
Hi there!,"Greetings, earthling! How's life on your planet?",greeting
Hi there!,"Hey, you magnificent creature! How's your day been?",greeting
Hi there!,"Hello, fabulous! What's the latest gossip?",greeting
Hi there!,Howdy-doody! What's new in your neck of the woods?,greeting
Hi there!,"Hey, gorgeous! How's everything with you?",greeting
Hi there!,Just going with the flow. How about you?,greeting
Hi there!,"Hi, sunshine! What's brightening your day?",greeting
Hi there!,"Hey, party people! Ready to have some fun?",greeting
Hi there!,"Greetings, fellow human! How's life treating you?",greeting
Hi there!,"Hey, superstar! What's been happening?",greeting
Hi there!,"Not much, just keeping busy. How about you?",greeting
Hi there!,"Hi, hi, hooray! What's the plan for today?",greeting
Hi there!,"Hey, how are you doing? Anything exciting going on?",greeting
Hi there!,"Hey, stranger! How have you been?",greeting
Hi there!,"Hello, my friend! How's life treating you?",greeting
Hi there!,Hi there! How's your day been so far?,greeting
Hi there!,"Hey, you! What's the good news?",greeting
Hey!,hello buddy,greeting
Hey!,hello main ky kr skta hu,greeting
Hey!,bol na ky kaam h,greeting
Hey!,ram ram,greeting
Hey!,kaam kr apna,greeting
Hey!,m nhi btaunga,greeting
Hey!,Hello!,greeting
Hey!,Hey there!,greeting
Hey!,Hi!,greeting
Hey!,Greetings!,greeting
Hey!,Salutations!,greeting
Hey!,"Hey, what's up?",greeting
Hey!,"Yo, what's going on?",greeting
Hey!,Howdy!,greeting
Hey!,Ahoy!,greeting
Hey!,Hiya!,greeting
Hey!,"Hey, good to see you!",greeting
Hey!,"Not much, just chilling. How about you?",greeting
Hey!,"Hey, hey!",greeting
Hey!,"Hey, how's it going?",greeting
Hey!,"Hey, what's the good word?",greeting
Hey!,"Hey, long time no see!",greeting
Hey!,"It's going well, thanks! How about you?",greeting
Hey!,"Hi, everything's going great. How about you?",greeting
Hey!,Top of the morning to you too!,greeting
Hey!,"Hey, how's your day going?",greeting
Hey!,"I'm doing well, thanks! How about you?",greeting
Hey!,"Hey, good to see you too!",greeting
Hey!,"Hiya, pal! What's new?",greeting
Hey!,The world keeps spinning. How about you?,greeting
Hey!,"Hey, sunshine! Ready to take on the day?",greeting
Hey!,"Not much, just hanging out. How about you?",greeting
Hey!,"Well, look who it is! How have you been?",greeting
Hey!,"Hi, stranger! Long time no talk!",greeting
Hey!,Greetings and hallucinations! How's life treating you?,greeting
Hey!,"Hey, fancy meeting you here! What brings you around?",greeting
Hey!,"Hello, beautiful! How's everything in your world?",greeting
Hey!,My day is going great. How about yours?,greeting
Hey!,"Hey, good lookin'! What's on your mind?",greeting
Hey!,"Hi, lovely people! How's the day treating you?",greeting
Hey!,"Hey, rockstar! Ready to conquer the world?",greeting
Hey!,"Not much, just taking it easy. How about you?",greeting
Hey!,"Greetings, earthling! How's life on your planet?",greeting
Hey!,"Hey, you magnificent creature! How's your day been?",greeting
Hey!,"Hello, fabulous! What's the latest gossip?",greeting
Hey!,Howdy-doody! What's new in your neck of the woods?,greeting
Hey!,"Hey, gorgeous! How's everything with you?",greeting
Hey!,Just going with the flow. How about you?,greeting
Hey!,"Hi, sunshine! What's brightening your day?",greeting
Hey!,"Hey, party people! Ready to have some fun?",greeting
Hey!,"Greetings, fellow human! How's life treating you?",greeting
Hey!,"Hey, superstar! What's been happening?",greeting
Hey!,"Not much, just keeping busy. How about you?",greeting
Hey!,"Hi, hi, hooray! What's the plan for today?",greeting
Hey!,"Hey, how are you doing? Anything exciting going on?",greeting
Hey!,"Hey, stranger! How have you been?",greeting
Hey!,"Hello, my friend! How's life treating you?",greeting
Hey!,Hi there! How's your day been so far?,greeting
Hey!,"Hey, you! What's the good news?",greeting
Good morning!,hello buddy,greeting
Good morning!,hello main ky kr skta hu,greeting
Good morning!,bol na ky kaam h,greeting
Good morning!,ram ram,greeting
Good morning!,kaam kr apna,greeting
Good morning!,m nhi btaunga,greeting
Good morning!,Hello!,greeting
Good morning!,Hey there!,greeting
Good morning!,Hi!,greeting
Good morning!,Greetings!,greeting
Good morning!,Salutations!,greeting
Good morning!,"Hey, what's up?",greeting
Good morning!,"Yo, what's going on?",greeting
Good morning!,Howdy!,greeting
Good morning!,Ahoy!,greeting
Good morning!,Hiya!,greeting
Good morning!,"Hey, good to see you!",greeting
Good morning!,"Not much, just chilling. How about you?",greeting
Good morning!,"Hey, hey!",greeting
Good morning!,"Hey, how's it going?",greeting
Good morning!,"Hey, what's the good word?",greeting
Good morning!,"Hey, long time no see!",greeting
Good morning!,"It's going well, thanks! How about you?",greeting
Good morning!,"Hi, everything's going great. How about you?",greeting
Good morning!,Top of the morning to you too!,greeting
Good morning!,"Hey, how's your day going?",greeting
Good morning!,"I'm doing well, thanks! How about you?",greeting
Good morning!,"Hey, good to see you too!",greeting
Good morning!,"Hiya, pal! What's new?",greeting
Good morning!,The world keeps spinning. How about you?,greeting
Good morning!,"Hey, sunshine! Ready to take on the day?",greeting
Good morning!,"Not much, just hanging out. How about you?",greeting
Good morning!,"Well, look who it is! How have you been?",greeting
Good morning!,"Hi, stranger! Long time no talk!",greeting
Good morning!,Greetings and hallucinations! How's life treating you?,greeting
Good morning!,"Hey, fancy meeting you here! What brings you around?",greeting
Good morning!,"Hello, beautiful! How's everything in your world?",greeting
Good morning!,My day is going great. How about yours?,greeting
Good morning!,"Hey, good lookin'! What's on your mind?",greeting
